Date,Close (R$),Open (R$),High (R$),Low (R$),Volume (R$),Variation (%)
1992-10-20,0.00,0.00,0.00,0.00,1760.00,0.00
1992-10-21,0.00,0.00,0.00,0.00,6190.00,0.00
1992-10-22,0.00,0.00,0.00,0.00,2500.00,0.00
1992-10-23,0.00,0.00,0.00,0.00,3510.00,0.00
1992-10-26,0.00,0.00,0.00,0.00,5300.00,0.00
1992-10-27,0.00,0.00,0.00,0.00,3170.00,0.00
1992-10-28,0.00,0.00,0.00,0.00,5330.00,0.00
1992-10-29,0.00,0.00,0.00,0.00,5760.00,0.00
1992-10-30,0.00,0.00,0.00,0.00,5170.00,0.00
1992-11-03,0.00,0.00,0.00,0.00,3410.00,0.00
1992-11-04,0.00,0.00,0.00,0.00,3390.00,0.00
1992-11-05,0.00,0.00,0.00,0.00,5690.00,0.00
1992-11-06,0.00,0.00,0.00,0.00,6330.00,0.00
1992-11-09,0.00,0.00,0.00,0.00,7060.00,0.00
1992-11-10,0.00,0.00,0.00,0.00,5540.00,0.00
1992-11-11,0.00,0.00,0.00,0.00,5120.00,0.00
1992-11-12,0.00,0.00,0.00,0.00,5560.00,0.00
1992-11-13,0.00,0.00,0.00,0.00,6490.00,0.00
1992-11-16,0.00,0.00,0.00,0.00,8600.00,0.00
1992-11-17,0.00,0.00,0.00,0.00,9850.00,0.00
1992-11-18,0.00,0.00,0.00,0.00,3800.00,0.00
1992-11-19,0.00,0.00,0.00,0.00,2530.00,0.00
1992-11-20,0.00,0.00,0.00,0.00,5000.00,0.00
1992-11-23,0.00,0.00,0.00,0.00,3720.00,0.00
1992-11-24,0.00,0.00,0.00,0.00,4760.00,0.00
1992-11-25,0.00,0.00,0.00,0.00,8120.00,0.00
1992-11-26,0.00,0.00,0.00,0.00,3460.00,0.00
1992-11-27,0.00,0.00,0.00,0.00,1630.00,0.00
1992-11-30,0.00,0.00,0.00,0.00,3460.00,0.00
1992-12-01,0.00,0.00,0.00,0.00,3940.00,0.00
1992-12-02,0.00,0.00,0.00,0.00,2210.00,0.00
1992-12-03,0.00,0.00,0.00,0.00,2780.00,0.00
1992-12-04,0.00,0.00,0.00,0.00,1600.00,0.00
1992-12-07,0.00,0.00,0.00,0.00,1210.00,0.00
1992-12-08,0.00,0.00,0.00,0.00,4830.00,0.00
1992-12-09,0.00,0.00,0.00,0.00,4190.00,0.00
1992-12-10,0.00,0.00,0.00,0.00,2560.00,0.00
1992-12-11,0.00,0.00,0.00,0.00,1580.00,0.00
1992-12-14,0.00,0.00,0.00,0.00,2240.00,0.00
1992-12-15,0.00,0.00,0.00,0.00,2030.00,0.00
1992-12-16,0.00,0.00,0.00,0.00,5300.00,0.00
1992-12-17,0.00,0.00,0.00,0.00,2220.00,0.00
1992-12-18,0.00,0.00,0.00,0.00,6360.00,0.00
1992-12-21,0.00,0.00,0.00,0.00,1570.00,0.00
1992-12-22,0.00,0.00,0.00,0.00,2300.00,0.00
1992-12-23,0.00,0.00,0.00,0.00,4240.00,0.00
1992-12-28,0.00,0.00,0.00,0.00,8320.00,0.00
1992-12-29,0.00,0.00,0.00,0.00,6470.00,0.00
1992-12-30,0.00,0.00,0.00,0.00,6490.00,0.00
1993-01-04,0.00,0.00,0.00,0.00,5480.00,0.00
1993-01-05,0.00,0.00,0.00,0.00,3210.00,0.00
1993-01-06,0.00,0.00,0.00,0.00,7300.00,0.00
1993-01-07,0.00,0.00,0.00,0.00,6850.00,0.00
1993-01-08,0.00,0.00,0.00,0.00,4370.00,0.00
