Date,Close (R$),Open (R$),High (R$),Low (R$),Volume (R$),Variation (%)
1992-11-01,0.00,0.00,0.00,0.00,103510.00,0.00
1992-12-01,0.00,0.00,0.00,0.00,72450.00,0.00
1993-01-01,0.00,0.00,0.00,0.00,69420.00,0.00
1993-02-01,0.00,0.00,0.00,0.00,59190.00,0.00
1993-03-01,0.00,0.00,0.00,0.00,83620.00,0.00
1993-04-01,0.00,0.00,0.00,0.00,80820.00,0.00
1993-05-01,0.01,0.00,0.01,0.01,72520.00,0.00
1993-06-01,0.01,0.01,0.01,0.01,162150.00,0.00
1993-07-01,0.01,0.01,0.01,0.01,133440.00,0.00
1993-08-01,0.02,0.01,0.03,0.01,225850.00,100.00
1993-09-01,0.03,0.02,0.03,0.02,189130.00,50.00
1993-10-01,0.03,0.03,0.04,0.03,163070.00,0.00
1993-11-01,0.07,0.03,0.07,0.03,223340.00,133.33
1993-12-01,0.09,0.07,0.10,0.06,207140.00,28.57
1994-01-01,0.20,0.09,0.21,0.09,7600000.00,122.22
1994-02-01,0.27,0.21,0.32,0.20,10510000.00,35.00
1994-03-01,0.43,0.28,0.45,0.26,12630000.00,59.26
1994-04-01,0.42,0.40,0.50,0.32,7170000.00,-2.33
1994-05-01,0.62,0.41,0.64,0.30,9890000.00,47.62
1994-06-01,0.88,0.61,0.95,0.59,8720000.00,41.94
1994-07-01,1.14,0.88,1.17,0.86,6790000.00,29.55
1994-08-01,1.45,1.11,1.47,1.08,12510000.00,27.19
1994-09-01,1.56,1.48,1.68,1.35,16030000.00,7.59
1994-10-01,1.20,1.57,1.58,1.04,12310000.00,-23.08
1994-11-01,1.13,1.18,1.28,0.97,7700000.00,-5.83
1994-12-01,0.99,1.16,1.24,0.88,11410000.00,-12.39
1995-01-01,0.85,0.99,1.01,0.66,12530000.00,-14.14
1995-02-01,0.80,0.86,0.92,0.66,8840000.00,-5.88
1995-03-01,0.58,0.76,0.76,0.46,11320000.00,-27.50
1995-04-01,0.78,0.55,0.81,0.54,8590000.00,34.48
1995-05-01,0.78,0.77,0.90,0.76,11740000.00,0.00
1995-06-01,0.72,0.78,0.91,0.70,8710000.00,-7.69
1995-07-01,0.80,0.73,0.88,0.71,7530000.00,11.11
1995-08-01,0.84,0.80,0.90,0.78,9640000.00,5.00
1995-09-01,0.93,0.85,1.04,0.85,9180000.00,10.71
1995-10-01,0.77,0.93,0.94,0.73,6910000.00,-17.20
1995-11-01,0.76,0.77,0.79,0.68,7510000.00,-1.30
1995-12-01,0.77,0.74,0.79,0.72,8310000.00,1.32
1996-01-01,0.94,0.77,0.96,0.77,9390000.00,22.08
1996-02-01,1.01,0.94,1.08,0.92,10810000.00,7.45
1996-03-01,1.09,1.03,1.12,0.95,12400000.00,7.92
1996-04-01,1.07,1.10,1.11,1.02,5610000.00,-1.83
1996-05-01,1.11,1.07,1.20,1.06,8400000.00,3.74
1996-06-01,1.14,1.10,1.21,1.08,5250000.00,2.70
1996-07-01,1.05,1.13,1.25,1.03,7630000.00,-7.89
1996-08-01,1.12,1.07,1.18,1.05,6310000.00,6.67
1996-09-01,1.11,1.12,1.14,1.07,4270000.00,-0.89
1996-10-01,1.23,1.10,1.25,1.09,7460000.00,10.81
1996-11-01,1.31,1.23,1.33,1.16,6360000.00,6.50
1996-12-01,1.53,1.31,1.54,1.31,7780000.00,16.79
1997-01-01,1.85,1.52,1.86,1.50,9100000.00,20.92
1997-02-01,1.98,1.85,2.12,1.85,7970000.00,7.03
1997-03-01,1.94,1.94,2.07,1.91,5970000.00,-2.02
1997-04-01,2.06,1.94,2.09,1.87,6220000.00,6.19
1997-05-01,2.36,2.06,2.40,2.03,9140000.00,14.56
1997-06-01,2.76,2.37,2.99,2.26,10430000.00,16.95
1997-07-01,3.04,2.77,3.14,2.45,13100000.00,10.14
1997-08-01,2.45,3.00,3.01,2.41,9530000.00,-19.41
1997-09-01,2.88,2.44,2.88,2.29,8940000.00,17.55
1997-10-01,1.89,2.89,3.10,1.66,14810000.00,-34.38
1997-11-01,2.24,2.08,2.33,1.77,11430000.00,18.52
1997-12-01,2.41,2.23,2.48,2.03,9790000.00,7.59
1998-01-01,2.21,2.43,2.53,1.94,9460000.00,-8.30
1998-02-01,2.36,2.26,2.40,2.12,15660000.00,6.79
1998-03-01,2.50,2.38,2.58,2.32,9240000.00,5.93
1998-04-01,2.68,2.49,2.74,2.45,9670000.00,7.20
1998-05-01,2.05,2.68,2.68,1.80,11770000.00,-23.51
1998-06-01,1.98,1.98,2.28,1.89,9500000.00,-3.41
1998-07-01,2.35,1.98,2.58,1.97,10830000.00,18.69
1998-08-01,1.11,2.34,2.34,1.09,13650000.00,-52.77
1998-09-01,1.13,1.13,1.44,0.83,23450000.00,1.80
1998-10-01,1.38,1.08,1.59,1.01,13810000.00,22.12
1998-11-01,1.58,1.41,1.79,1.41,10930000.00,14.49
1998-12-01,1.26,1.58,1.66,1.16,11410000.00,-20.25
1999-01-01,1.25,1.30,1.32,0.73,22040000.00,-0.79
1999-02-01,1.49,1.28,1.63,1.26,11800000.00,19.20
1999-03-01,2.20,1.55,2.25,1.50,15400000.00,47.65
1999-04-01,2.46,2.20,2.64,2.17,14420000.00,11.82
1999-05-01,2.32,2.49,2.56,2.08,15740000.00,-5.69
1999-06-01,2.54,2.31,2.56,2.15,8650000.00,9.48
1999-07-01,2.37,2.54,2.66,2.34,9880000.00,-6.69
1999-08-01,2.37,2.36,2.45,2.11,10280000.00,0.00
1999-09-01,2.65,2.44,2.89,2.37,8610000.00,11.81
1999-10-01,2.86,2.65,2.93,2.55,7720000.00,7.92
1999-11-01,3.58,2.86,3.76,2.84,8270000.00,25.17
1999-12-01,4.24,3.60,4.29,3.55,8020000.00,18.44
2000-01-01,3.76,4.25,4.36,3.74,6540000.00,-11.32
2000-02-01,4.24,3.76,4.35,3.76,6630000.00,12.77
2000-03-01,4.35,4.24,4.76,4.20,5440000.00,2.59
2000-04-01,3.97,4.34,4.61,3.69,7810000.00,-8.74
2000-05-01,3.87,4.00,4.14,3.84,6560000.00,-2.52
2000-06-01,5.03,3.91,5.09,3.90,142690000.00,29.97
2000-07-01,4.32,5.14,5.34,4.28,820540000.00,-14.12
2000-08-01,5.08,4.34,5.27,4.11,1780000.00,17.59
2000-09-01,4.86,5.17,5.38,4.70,693100000.00,-4.33
2000-10-01,4.67,4.89,5.03,4.12,841010000.00,-3.91
2000-11-01,4.38,4.65,4.88,4.35,668070000.00,-6.21
2000-12-01,4.22,4.37,4.49,4.06,758070000.00,-3.65
2001-01-01,5.03,4.23,5.19,4.23,834630000.00,19.19
2001-02-01,5.07,5.03,5.42,4.89,538100000.00,0.80
2001-03-01,4.33,5.07,5.33,4.21,803800000.00,-14.60
2001-04-01,4.93,4.35,5.04,4.11,667650000.00,13.86
2001-05-01,5.52,4.93,5.58,4.84,617120000.00,11.97
2001-06-01,4.98,5.52,5.80,4.79,573350000.00,-9.78
2001-07-01,5.00,4.98,5.06,4.61,789180000.00,0.40
2001-08-01,5.07,5.00,5.26,4.74,617000000.00,1.40
2001-09-01,4.73,5.06,5.44,4.43,750940000.00,-6.71
2001-10-01,4.79,4.72,5.10,4.43,704110000.00,1.27
2001-11-01,4.53,4.79,5.02,4.21,1020000.00,-5.43
2001-12-01,4.72,4.49,4.81,4.33,606210000.00,4.19
2002-01-01,4.44,4.73,4.87,4.31,527680000.00,-5.93
2002-02-01,5.18,4.44,5.26,4.37,610920000.00,16.67
2002-03-01,5.33,5.20,5.61,5.09,690770000.00,2.90
2002-04-01,5.07,5.46,5.49,4.95,725660000.00,-4.88
2002-05-01,5.03,5.05,5.23,4.71,527730000.00,-0.79
2002-06-01,4.53,5.07,5.14,3.76,686570000.00,-9.94
2002-07-01,3.77,4.57,4.57,3.51,840710000.00,-16.78
2002-08-01,4.06,3.81,4.26,3.62,872740000.00,7.69
2002-09-01,3.40,4.06,4.47,3.17,914890000.00,-16.26
2002-10-01,4.09,3.47,4.13,3.20,1010000.00,20.29
2002-11-01,4.10,4.10,4.26,3.75,547990000.00,0.24
2002-12-01,4.28,4.11,4.62,3.99,603370000.00,4.39
2003-01-01,4.38,4.30,4.90,4.07,871470000.00,2.34
2003-02-01,3.94,4.43,4.46,3.77,653150000.00,-10.05
2003-03-01,4.28,3.87,4.59,3.84,693000000.00,8.63
2003-04-01,4.60,4.30,4.65,4.20,726390000.00,7.48
2003-05-01,4.87,4.60,5.19,4.57,840290000.00,5.87
2003-06-01,4.70,4.86,5.07,4.58,702480000.00,-3.49
2003-07-01,5.21,4.71,5.36,4.68,703710000.00,10.85
2003-08-01,5.61,5.21,5.62,4.92,814850000.00,7.68
2003-09-01,5.60,5.57,6.09,5.51,921330000.00,-0.18
2003-10-01,5.81,5.63,6.31,5.63,899720000.00,3.75
2003-11-01,6.17,5.85,6.43,5.81,700420000.00,6.20
2003-12-01,7.05,6.18,7.28,6.16,699490000.00,14.26
2004-01-01,7.22,7.05,8.53,7.05,993170000.00,2.41
2004-02-01,7.57,7.24,8.16,7.02,861190000.00,4.85
2004-03-01,7.89,7.62,8.10,7.38,772530000.00,4.23
2004-04-01,6.89,7.93,8.26,6.74,801450000.00,-12.67
2004-05-01,6.62,6.86,7.37,6.19,977200000.00,-3.92
2004-06-01,7.13,6.60,7.23,6.50,861050000.00,7.70
2004-07-01,7.21,7.10,7.31,6.79,756350000.00,1.12
2004-08-01,7.57,7.16,7.87,7.06,828580000.00,4.99
2004-09-01,8.66,7.57,8.71,7.52,631410000.00,14.40
2004-10-01,8.62,8.42,9.04,8.14,803240000.00,-0.46
2004-11-01,8.57,8.63,8.90,8.26,641900000.00,-0.58
2004-12-01,8.96,8.63,9.04,8.34,748910000.00,4.55
2005-01-01,8.70,8.97,9.03,8.33,652020000.00,-2.90
2005-02-01,10.26,8.65,10.48,8.52,885380000.00,17.93
2005-03-01,9.52,10.10,10.79,9.10,858800000.00,-7.21
2005-04-01,8.72,9.59,9.76,8.42,626650000.00,-8.40
2005-05-01,9.28,8.72,9.40,8.47,550750000.00,6.42
2005-06-01,9.90,9.30,10.24,9.12,827540000.00,6.68
2005-07-01,10.05,9.86,10.26,9.52,753710000.00,1.52
2005-08-01,11.99,10.05,11.99,9.99,908920000.00,19.30
2005-09-01,13.16,12.00,13.84,11.75,191570000.00,9.76
2005-10-01,11.89,13.17,13.33,10.79,231690000.00,-9.65
2005-11-01,12.64,11.95,12.80,11.06,199450000.00,6.31
2005-12-01,13.73,12.71,13.83,12.60,156620000.00,8.62
2006-01-01,17.35,13.59,17.35,13.56,227500000.00,26.37
2006-02-01,16.51,17.35,17.46,14.81,262420000.00,-4.84
2006-03-01,15.92,16.03,16.84,14.99,289300000.00,-3.57
2006-04-01,17.06,15.98,17.38,15.83,201980000.00,7.16
2006-05-01,16.24,16.83,17.86,15.20,331230000.00,-4.81
2006-06-01,15.94,16.26,16.65,13.40,294670000.00,-1.85
2006-07-01,16.57,15.87,16.71,15.24,217140000.00,3.95
2006-08-01,15.87,16.46,17.21,15.62,237570000.00,-4.22
2006-09-01,14.98,15.98,16.39,13.71,320260000.00,-5.61
2006-10-01,15.87,15.13,16.16,14.14,312010000.00,5.94
2006-11-01,16.91,15.65,17.03,15.54,278900000.00,6.55
2006-12-01,18.38,16.84,18.44,16.61,246600000.00,8.69
2007-01-01,17.30,18.45,18.62,15.94,390460000.00,-5.88
2007-02-01,15.82,17.42,17.57,15.68,353810000.00,-8.55
2007-03-01,17.03,15.56,17.27,14.65,430730000.00,7.65
2007-04-01,16.68,16.97,18.08,16.60,357540000.00,-2.06
2007-05-01,16.95,16.90,17.64,16.29,407290000.00,1.62
2007-06-01,19.06,17.16,19.23,17.07,398180000.00,12.45
2007-07-01,19.45,19.12,21.22,18.84,333560000.00,2.05
2007-08-01,19.26,19.30,19.63,16.10,493110000.00,-0.98
2007-09-01,21.85,19.26,22.33,19.23,351610000.00,13.45
2007-10-01,26.79,21.80,27.53,21.15,522550000.00,22.61
2007-11-01,26.75,26.41,33.81,25.26,588780000.00,-0.15
2007-12-01,32.89,27.06,32.89,26.60,409960000.00,22.95
2008-01-01,30.02,32.36,32.64,24.72,521270000.00,-8.73
2008-02-01,30.41,30.79,32.28,29.26,388960000.00,1.30
2008-03-01,27.63,30.54,30.88,25.20,442490000.00,-9.14
2008-04-01,31.60,28.00,32.73,27.45,553500000.00,14.37
2008-05-01,36.69,33.09,40.19,31.78,482640000.00,16.11
2008-06-01,34.60,36.61,37.64,32.19,466420000.00,-5.70
2008-07-01,26.88,34.07,35.07,25.15,458360000.00,-22.31
2008-08-01,26.13,26.77,27.01,23.07,379080000.00,-2.79
2008-09-01,26.28,26.05,27.24,20.11,613930000.00,0.57
2008-10-01,17.45,26.20,26.41,13.33,904640000.00,-33.60
2008-11-01,15.02,17.74,19.23,12.54,622480000.00,-13.93
2008-12-01,17.43,14.40,18.53,12.99,592910000.00,16.05
2009-01-01,19.10,17.76,19.83,17.19,484810000.00,9.58
2009-02-01,20.15,18.74,21.49,18.71,447860000.00,5.50
2009-03-01,21.79,19.81,23.70,18.51,589480000.00,8.14
2009-04-01,22.80,21.45,24.17,21.33,433830000.00,4.64
2009-05-01,26.59,23.37,27.17,23.27,437900000.00,16.62
2009-06-01,25.04,27.20,27.32,23.62,391860000.00,-5.83
2009-07-01,24.52,25.40,25.46,22.21,370550000.00,-2.08
2009-08-01,24.45,24.90,26.65,24.04,370720000.00,-0.29
2009-09-01,27.28,24.74,27.42,24.47,350350000.00,11.57
2009-10-01,27.46,27.16,29.55,26.30,352240000.00,0.66
2009-11-01,30.41,27.24,31.08,27.03,334980000.00,10.74
2009-12-01,28.92,30.76,31.42,27.74,295450000.00,-4.90
2010-01-01,26.93,29.12,29.55,26.41,346790000.00,-6.88
2010-02-01,27.28,27.02,27.50,24.21,335170000.00,1.30
2010-03-01,27.89,27.44,29.54,26.89,470450000.00,2.24
2010-04-01,26.04,28.10,28.69,25.33,404790000.00,-6.63
2010-05-01,23.67,25.84,25.90,20.79,484900000.00,-9.10
2010-06-01,21.48,23.19,24.29,21.36,357580000.00,-9.25
2010-07-01,22.27,21.68,22.62,21.04,248630000.00,3.68
2010-08-01,20.99,22.53,23.79,20.50,378130000.00,-5.75
2010-09-01,21.98,21.18,23.59,20.74,770450000.00,4.72
2010-10-01,20.82,22.22,22.43,19.25,727640000.00,-5.28
2010-11-01,19.91,20.98,22.49,19.78,478070000.00,-4.37
2010-12-01,21.56,19.62,21.68,19.57,404510000.00,8.27
2011-01-01,21.40,21.72,22.21,20.74,465440000.00,-0.73
2011-02-01,22.58,21.57,23.11,20.63,576720000.00,5.50
2011-03-01,22.66,22.51,23.04,21.68,410790000.00,0.36
2011-04-01,20.44,22.75,22.93,20.07,399500000.00,-9.77
2011-05-01,19.40,20.53,20.68,18.79,405780000.00,-5.11
2011-06-01,19.10,19.33,19.46,18.40,367020000.00,-1.54
2011-07-01,18.93,19.05,19.31,18.02,345800000.00,-0.93
2011-08-01,16.90,19.05,19.13,14.92,597930000.00,-10.72
2011-09-01,15.52,17.16,17.17,15.38,377320000.00,-8.17
2011-10-01,17.32,15.40,17.86,14.54,479330000.00,11.62
2011-11-01,18.08,16.57,18.64,16.57,415040000.00,4.37
2011-12-01,17.62,18.31,19.24,17.22,389900000.00,-2.54
2012-01-01,20.33,17.63,21.42,17.43,495580000.00,15.39
2012-02-01,20.11,20.44,21.41,18.79,580540000.00,-1.06
2012-03-01,19.42,20.28,20.93,19.07,469210000.00,-3.48
2012-04-01,17.70,19.36,19.62,17.30,364870000.00,-8.82
2012-05-01,16.07,17.68,18.50,15.19,597570000.00,-9.22
2012-06-01,15.33,15.57,16.93,14.63,584880000.00,-4.60
2012-07-01,9.26,8.59,9.64,8.53,526760000.00,-39.63
2012-08-01,9.85,9.26,10.39,8.94,573450000.00,6.41
2012-09-01,10.62,9.86,11.32,9.63,425690000.00,7.81
2012-10-01,9.87,10.60,10.97,9.87,430240000.00,-7.02
2012-11-01,8.86,9.93,10.35,8.71,457390000.00,-10.29
2012-12-01,9.27,8.96,10.01,8.86,491900000.00,4.61
2013-01-01,8.58,9.49,9.81,8.50,544700000.00,-7.38
2013-02-01,7.88,8.61,8.85,7.85,561160000.00,-8.13
2013-03-01,8.71,7.83,9.29,7.78,624960000.00,10.48
2013-04-01,9.93,8.67,9.93,8.06,644880000.00,13.95
2013-05-01,9.91,9.81,10.29,9.51,572660000.00,-0.20
2013-06-01,7.99,9.94,10.11,7.69,672930000.00,-19.30
2013-07-01,8.05,8.00,8.44,7.38,610140000.00,0.68
2013-08-01,8.30,8.25,9.23,7.95,773730000.00,3.13
2013-09-01,9.07,8.47,9.54,8.18,563420000.00,9.29
2013-10-01,10.09,9.15,10.16,8.75,672260000.00,11.27
2013-11-01,9.45,9.94,10.59,9.16,562620000.00,-6.41
2013-12-01,8.44,8.82,8.93,8.25,485520000.00,-10.67
2014-01-01,7.26,8.47,8.50,7.19,537260000.00,-13.93
2014-02-01,6.71,7.21,7.46,6.70,591450000.00,-7.55
2014-03-01,7.80,6.77,7.80,6.21,746230000.00,16.11
2014-04-01,8.69,7.77,8.97,7.65,786420000.00,11.52
2014-05-01,8.76,8.68,9.89,8.66,652540000.00,0.72
2014-06-01,9.07,8.81,10.04,8.55,593880000.00,3.59
2014-07-01,10.02,9.10,11.14,8.84,800730000.00,10.47
2014-08-01,12.25,9.97,12.38,9.62,1070000.00,22.25
2014-09-01,9.49,12.57,13.06,9.31,1330000.00,-22.53
2014-10-01,8.02,9.29,11.82,7.22,2070000.00,-15.53
2014-11-01,6.72,7.85,8.01,6.30,937330000.00,-16.23
2014-12-01,5.26,6.62,6.72,4.49,1060000.00,-21.72
2015-01-01,4.29,5.24,5.49,4.22,1380000.00,-18.36
2015-02-01,5.02,4.44,5.66,4.27,1160000.00,16.99
2015-03-01,5.11,4.95,5.23,4.28,1080000.00,1.67
2015-04-01,6.85,5.21,7.23,5.18,1510000.00,34.12
2015-05-01,6.47,6.98,7.84,6.45,1020000.00,-5.52
2015-06-01,6.67,6.52,7.13,6.43,810780000.00,3.08
2015-07-01,5.51,6.72,6.74,4.99,979460000.00,-17.39
2015-08-01,4.82,5.44,5.54,3.95,996340000.00,-12.48
2015-09-01,3.80,4.59,4.83,3.38,1140000.00,-21.22
2015-10-01,4.05,3.84,4.76,3.62,1230000.00,6.49
