Date,Close (R$),Open (R$),High (R$),Low (R$),Volume (R$),Variation (%)
1992-10-25,0.00,0.00,0.00,0.00,24730.00,0.00
1992-11-01,0.00,0.00,0.00,0.00,18830.00,0.00
1992-11-08,0.00,0.00,0.00,0.00,29770.00,0.00
1992-11-15,0.00,0.00,0.00,0.00,29770.00,0.00
1992-11-22,0.00,0.00,0.00,0.00,21680.00,0.00
1992-11-29,0.00,0.00,0.00,0.00,14000.00,0.00
1992-12-06,0.00,0.00,0.00,0.00,14380.00,0.00
1992-12-13,0.00,0.00,0.00,0.00,18150.00,0.00
1992-12-20,0.00,0.00,0.00,0.00,8110.00,0.00
1992-12-27,0.00,0.00,0.00,0.00,21280.00,0.00
1993-01-03,0.00,0.00,0.00,0.00,27210.00,0.00
1993-01-10,0.00,0.00,0.00,0.00,13660.00,0.00
1993-01-17,0.00,0.00,0.00,0.00,14070.00,0.00
1993-01-24,0.00,0.00,0.00,0.00,14480.00,0.00
1993-01-31,0.00,0.00,0.00,0.00,14360.00,0.00
1993-02-07,0.00,0.00,0.00,0.00,15450.00,0.00
1993-02-14,0.00,0.00,0.00,0.00,19870.00,0.00
1993-02-21,0.00,0.00,0.00,0.00,9520.00,0.00
1993-02-28,0.00,0.00,0.00,0.00,18220.00,0.00
1993-03-07,0.00,0.00,0.00,0.00,19030.00,0.00
1993-03-14,0.00,0.00,0.00,0.00,23210.00,0.00
1993-03-21,0.00,0.00,0.00,0.00,14390.00,0.00
1993-03-28,0.00,0.00,0.00,0.00,18590.00,0.00
1993-04-04,0.00,0.00,0.00,0.00,5280.00,0.00
1993-04-11,0.00,0.00,0.00,0.00,16270.00,0.00
1993-04-18,0.00,0.00,0.00,0.00,30830.00,0.00
1993-04-25,0.00,0.00,0.00,0.00,18620.00,0.00
1993-05-02,0.00,0.00,0.00,0.00,8980.00,0.00
1993-05-09,0.00,0.00,0.00,0.00,11160.00,0.00
1993-05-16,0.00,0.00,0.00,0.00,24790.00,0.00
1993-05-23,0.01,0.00,0.01,0.01,26830.00,0.00
1993-05-30,0.01,0.01,0.01,0.01,19290.00,0.00
1993-06-06,0.01,0.01,0.01,0.01,25510.00,0.00
1993-06-13,0.01,0.01,0.01,0.01,32740.00,0.00
1993-06-20,0.01,0.01,0.01,0.01,49280.00,0.00
1993-06-27,0.01,0.01,0.01,0.01,57750.00,0.00
1993-07-04,0.01,0.01,0.01,0.01,28930.00,0.00
1993-07-11,0.01,0.01,0.01,0.01,32070.00,0.00
1993-07-18,0.01,0.01,0.01,0.01,28190.00,0.00
1993-07-25,0.01,0.01,0.01,0.01,22580.00,0.00
1993-08-01,0.01,0.01,0.01,0.01,27380.00,0.00
1993-08-08,0.01,0.01,0.01,0.01,32690.00,0.00
1993-08-15,0.02,0.01,0.02,0.01,64270.00,100.00
1993-08-22,0.02,0.02,0.03,0.02,74680.00,0.00
1993-08-29,0.02,0.02,0.02,0.02,63860.00,0.00
1993-09-05,0.03,0.02,0.03,0.02,38260.00,50.00
1993-09-12,0.03,0.03,0.03,0.02,43150.00,0.00
1993-09-19,0.03,0.03,0.03,0.03,47150.00,0.00
1993-09-26,0.03,0.03,0.03,0.03,27340.00,0.00
1993-10-03,0.03,0.03,0.04,0.03,42510.00,0.00
1993-10-10,0.04,0.04,0.04,0.03,28930.00,33.33
1993-10-17,0.03,0.04,0.04,0.03,54710.00,-25.00
1993-10-24,0.03,0.03,0.03,0.03,33130.00,0.00
1993-10-31,0.04,0.03,0.04,0.03,40420.00,33.33
1993-11-07,0.05,0.04,0.05,0.03,65750.00,25.00
1993-11-14,0.05,0.05,0.06,0.05,46520.00,0.00
1993-11-21,0.07,0.05,0.07,0.05,57230.00,40.00
1993-11-28,0.08,0.06,0.08,0.06,46440.00,14.29
1993-12-05,0.08,0.08,0.08,0.07,47410.00,0.00
1993-12-12,0.08,0.08,0.08,0.07,31210.00,0.00
1993-12-19,0.09,0.08,0.09,0.07,64170.00,12.50
1993-12-26,0.09,0.09,0.10,0.09,31340.00,0.00
1994-01-02,0.14,0.09,0.14,0.09,1720000.00,55.56
